C:/Users/Bowers/Documents/minecraft-worlds/mc-server/internalStorage/Dedicated_Server.txt
[2020-06-12 12:55:39 INFO] Running AutoCompaction...
[2020-06-12 13:01:39 INFO] Running AutoCompaction...
[2020-06-12 13:07:39 INFO] Running AutoCompaction...
[2020-06-12 13:13:39 INFO] Running AutoCompaction...
[2020-06-12 13:19:39 INFO] Running AutoCompaction...
[2020-06-12 13:25:39 INFO] Running AutoCompaction...
[2020-06-12 13:31:39 INFO] Running AutoCompaction...
[2020-06-12 13:37:39 INFO] Running AutoCompaction...
[2020-06-12 13:43:39 INFO] Running AutoCompaction...
[2020-06-12 13:49:39 INFO] Running AutoCompaction...
[2020-06-12 13:55:39 INFO] Running AutoCompaction...
[2020-06-12 14:01:39 INFO] Running AutoCompaction...
[2020-06-12 14:07:39 INFO] Running AutoCompaction...
[2020-06-12 14:13:39 INFO] Running AutoCompaction...
[2020-06-12 14:19:39 INFO] Running AutoCompaction...
[2020-06-12 14:25:39 INFO] Running AutoCompaction...
[2020-06-12 14:31:39 INFO] Running AutoCompaction...
[2020-06-12 14:37:39 INFO] Running AutoCompaction...
[2020-06-12 14:43:39 INFO] Running AutoCompaction...
[2020-06-12 14:49:40 INFO] Running AutoCompaction...
[2020-06-12 14:55:40 INFO] Running AutoCompaction...
[2020-06-12 15:01:40 INFO] Running AutoCompaction...
[2020-06-12 15:07:40 INFO] Running AutoCompaction...
[2020-06-12 15:13:40 INFO] Running AutoCompaction...
[2020-06-12 15:19:40 INFO] Running AutoCompaction...
[2020-06-12 15:25:40 INFO] Running AutoCompaction...
[2020-06-12 15:31:40 INFO] Running AutoCompaction...
[2020-06-12 15:37:40 INFO] Running AutoCompaction...
[2020-06-12 15:43:40 INFO] Running AutoCompaction...
[2020-06-12 15:49:40 INFO] Running AutoCompaction...
[2020-06-12 15:55:40 INFO] Running AutoCompaction...
[2020-06-12 16:01:40 INFO] Running AutoCompaction...
[2020-06-12 16:07:40 INFO] Running AutoCompaction...
[2020-06-12 16:13:40 INFO] Running AutoCompaction...
[2020-06-12 16:19:40 INFO] Running AutoCompaction...
[2020-06-12 16:25:40 INFO] Running AutoCompaction...
[2020-06-12 16:31:40 INFO] Running AutoCompaction...
[2020-06-12 16:37:40 INFO] Running AutoCompaction...
[2020-06-12 16:43:40 INFO] Running AutoCompaction...
[2020-06-12 16:49:40 INFO] Running AutoCompaction...
[2020-06-12 16:55:40 INFO] Running AutoCompaction...
[2020-06-12 17:01:40 INFO] Running AutoCompaction...
[2020-06-12 17:07:40 INFO] Running AutoCompaction...
[2020-06-12 17:13:40 INFO] Running AutoCompaction...
[2020-06-12 17:19:40 INFO] Running AutoCompaction...
[2020-06-12 17:25:40 INFO] Running AutoCompaction...
[2020-06-12 17:31:40 INFO] Running AutoCompaction...
[2020-06-12 17:37:40 INFO] Running AutoCompaction...
[2020-06-12 17:43:40 INFO] Running AutoCompaction...
[2020-06-12 17:49:40 INFO] Running AutoCompaction...
[2020-06-12 17:55:40 INFO] Running AutoCompaction...
[2020-06-12 18:01:40 INFO] Running AutoCompaction...
[2020-06-12 18:07:41 INFO] Running AutoCompaction...
[2020-06-12 18:13:41 INFO] Running AutoCompaction...
[2020-06-12 18:19:41 INFO] Running AutoCompaction...
[2020-06-12 18:25:41 INFO] Running AutoCompaction...
[2020-06-12 18:31:41 INFO] Running AutoCompaction...
[2020-06-12 18:37:41 INFO] Running AutoCompaction...
[2020-06-12 18:43:41 INFO] Running AutoCompaction...
[2020-06-12 18:49:41 INFO] Running AutoCompaction...
[2020-06-12 18:55:41 INFO] Running AutoCompaction...
[2020-06-12 19:01:41 INFO] Running AutoCompaction...
[2020-06-12 19:07:41 INFO] Running AutoCompaction...
[2020-06-12 19:13:41 INFO] Running AutoCompaction...
[2020-06-12 19:19:41 INFO] Running AutoCompaction...
[2020-06-12 19:25:41 INFO] Running AutoCompaction...
[2020-06-12 19:31:41 INFO] Running AutoCompaction...
[2020-06-12 19:37:41 INFO] Running AutoCompaction...
